# conv2 output: 16 channels
# Format: channel, y, x, value
9, 1, 0, 63
9, 1, 1, 95
9, 1, 2, 111
9, 1, 3, 79
9, 1, 4, 15
9, 1, 5, 15
9, 1, 6, 15
9, 1, 7, 15
9, 2, 0, 15
9, 2, 1, 111
9, 2, 2, 79
9, 2, 3, 31
9, 2, 4, 0
9, 2, 5, 0
9, 2, 6, 0
9, 2, 7, 0
9, 3, 0, 0
9, 3, 1, 95
9, 3, 2, 79
9, 3, 3, 127
9, 3, 4, 95
9, 3, 5, 95
9, 3, 6, 95
9, 3, 7, 95
9, 4, 0, 95
9, 4, 1, 95
9, 4, 2, 127
9, 4, 3, 127
9, 4, 4, 95
9, 4, 5, 95
9, 4, 6, 95
9, 4, 7, 95
9, 5, 0, 95
9, 5, 1, 127
9, 5, 2, 127
9, 5, 3, 111
9, 5, 4, 79
9, 5, 5, 79
9, 5, 6, 79
9, 5, 7, 79
9, 6, 0, 79
9, 6, 1, 127
9, 6, 2, 127
9, 6, 3, 111
9, 6, 4, 79
9, 6, 5, 79
9, 6, 6, 79
9, 6, 7, 79
9, 7, 0, 79
9, 7, 1, 63
9, 7, 2, 127
9, 7, 3, 111
9, 7, 4, 63
9, 7, 5, 63
9, 7, 6, 63
9, 7, 7, 63
10, 0, 0, 121
10, 0, 1, 127
10, 0, 2, 127
10, 0, 3, 127
10, 0, 4, 121
10, 0, 5, 121
10, 0, 6, 121
10, 0, 7, 121
10, 1, 0, 121
10, 1, 1, 127
10, 1, 2, 127
10, 1, 3, 127
10, 1, 4, 89
10, 1, 5, 89
10, 1, 6, 89
10, 1, 7, 89
10, 2, 0, 89
10, 2, 1, 127
10, 2, 2, 127
10, 2, 3, 105
10, 2, 4, 25
10, 2, 5, 25
10, 2, 6, 25
10, 2, 7, 25
10, 3, 0, 25
10, 3, 1, 127
10, 3, 2, 127
10, 3, 3, 127
10, 3, 4, 127
10, 3, 5, 127
10, 3, 6, 127
10, 3, 7, 127
10, 4, 0, 127
10, 4, 1, 127
10, 4, 2, 127
10, 4, 3, 127
10, 4, 4, 127
10, 4, 5, 127
10, 4, 6, 127
10, 4, 7, 127
10, 5, 0, 127
10, 5, 1, 127
10, 5, 2, 127
10, 5, 3, 127
10, 5, 4, 127
10, 5, 5, 127
10, 5, 6, 127
10, 5, 7, 127
10, 6, 0, 127
10, 6, 1, 127
10, 6, 2, 127
10, 6, 3, 127
10, 6, 4, 127
10, 6, 5, 127
10, 6, 6, 127
10, 6, 7, 127
10, 7, 0, 127
10, 7, 1, 127
10, 7, 2, 127
10, 7, 3, 127
10, 7, 4, 121
10, 7, 5, 121
10, 7, 6, 121
10, 7, 7, 121
11, 0, 0, 53
11, 0, 1, 127
11, 0, 2, 127
11, 0, 3, 85
11, 0, 4, 53
11, 0, 5, 53
11, 0, 6, 53
11, 0, 7, 53
11, 1, 0, 53
11, 1, 1, 127
11, 1, 2, 127
11, 1, 3, 69
11, 1, 4, 21
11, 1, 5, 21
11, 1, 6, 21
11, 1, 7, 21
11, 2, 0, 21
11, 2, 1, 127
11, 2, 2, 101
11, 2, 3, 21
11, 2, 4, 0
11, 2, 5, 0
11, 2, 6, 0
11, 2, 7, 0
11, 3, 0, 0
11, 3, 1, 127
11, 3, 2, 101
11, 3, 3, 127
11, 3, 4, 85
11, 3, 5, 85
11, 3, 6, 85
11, 3, 7, 85
11, 4, 0, 85
11, 4, 1, 117
11, 4, 2, 127
11, 4, 3, 127
11, 4, 4, 85
11, 4, 5, 85
11, 4, 6, 85
11, 4, 7, 85
11, 5, 0, 85
11, 5, 1, 127
11, 5, 2, 127
11, 5, 3, 127
11, 5, 4, 69
11, 5, 5, 69
11, 5, 6, 69
11, 5, 7, 69
11, 6, 0, 69
11, 6, 1, 127
11, 6, 2, 127
11, 6, 3, 127
11, 6, 4, 69
11, 6, 5, 69
11, 6, 6, 69
11, 6, 7, 69
11, 7, 0, 69
11, 7, 1, 117
11, 7, 2, 127
11, 7, 3, 127
11, 7, 4, 53
11, 7, 5, 53
11, 7, 6, 53
11, 7, 7, 53
12, 0, 0, 33
12, 0, 1, 97
12, 0, 2, 127
12, 0, 3, 49
12, 0, 4, 33
